rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,imputation__type,imputation__strategy,imputation__initial_strategy,imputation__imputation_order,features__type,features__n_components,features__k,discretization__type,discretization__threshold,discretization__strategy,discretization__n_bins,discretization__encode,classification__weights,classification__type,classification__splitter,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__min_samples_split,classification__min_samples_leaf,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__criterion,balanced_accuracy__status,balanced_accuracy__balanced_accuracy
NearMiss,2,,features_discretization_rebalancing_normalization_imputation_classification,,,,,FunctionTransformer,FunctionTransformer,,,,SelectKBest,,4,FunctionTransformer,,,,,distance,KNeighborsClassifier,,,15,,,,minkowski,,,,,fail,-inf
FunctionTransformer,,,imputation_discretization_rebalancing_features_normalization_classification,,,,,PowerTransformer,FunctionTransformer,,,,PCA,7,,KBinsDiscretizer,,quantile,6,ordinal,distance,KNeighborsClassifier,,,5,,,,euclidean,,,,,fail,-inf
NearMiss,2,,rebalancing_discretization_features_imputation_normalization_classification,,,,,PowerTransformer,IterativeImputer,,constant,roman,PCA,7,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,,,fail,-inf
FunctionTransformer,,,discretization_imputation_normalization_features_rebalancing_classification,,False,,True,RobustScaler,SimpleImputer,most_frequent,,,SelectKBest,,2,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,,13,,,,minkowski,,,,,fail,-inf
NearMiss,3,,rebalancing_discretization_features_normalization_imputation_classification,,True,,True,RobustScaler,SimpleImputer,constant,,,SelectKBest,,6,KBinsDiscretizer,,quantile,5,ordinal,,MLPClassifier,,100,,200,,,,,,,,fail,-inf
SMOTE,,7,features_rebalancing_discretization_imputation_normalization_classification,,,,,PowerTransformer,SimpleImputer,constant,,,PCA,5,,KBinsDiscretizer,,quantile,6,ordinal,,MLPClassifier,,50,,10,,,,,,,,fail,-inf
NearMiss,3,,features_discretization_imputation_normalization_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,PCA,7,,Binarizer,0.0,,,,,GaussianNB,,,,,,,,,,,,fail,-inf
NearMiss,1,,discretization_features_rebalancing_imputation_normalization_classification,True,,False,,StandardScaler,FunctionTransformer,,,,SelectKBest,,8,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,,,fail,-inf
FunctionTransformer,,,features_imputation_normalization_discretization_rebalancing_classification,,,,,MinMaxScaler,IterativeImputer,,constant,descending,SelectKBest,,2,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,,,fail,-inf
NearMiss,2,,features_normalization_discretization_imputation_rebalancing_classification,,,,,FunctionTransformer,IterativeImputer,,most_frequent,random,PCA,4,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,,,fail,-inf
FunctionTransformer,,,discretization_imputation_features_normalization_rebalancing_classification,,True,,True,RobustScaler,SimpleImputer,constant,,,SelectKBest,,4,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,3,,4,2,3,gini,success,0.862122023420835
SMOTE,,7,features_rebalancing_discretization_imputation_normalization_classification,,,,,FunctionTransformer,FunctionTransformer,,,,SelectKBest,,9,FunctionTransformer,,,,,,MLPClassifier,,200,,50,,,,,,,,fail,-inf
FunctionTransformer,,,imputation_discretization_rebalancing_features_normalization_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,3,,4,2,3,gini,success,0.862122023420835
FunctionTransformer,,,discretization_rebalancing_imputation_normalization_features_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,3,,4,2,3,gini,success,0.862122023420835
FunctionTransformer,,,discretization_imputation_rebalancing_normalization_features_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,3,,4,2,3,gini,success,0.862122023420835
FunctionTransformer,,,imputation_discretization_rebalancing_features_normalization_classification,,True,,True,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,random,,,,2,2,,4,2,1,gini,success,0.5
FunctionTransformer,,,discretization_imputation_features_normalization_rebalancing_classification,False,,True,,StandardScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,5,5,,2,1,4,entropy,success,0.5
FunctionTransformer,,,normalization_features_discretization_imputation_rebalancing_classification,,True,,False,RobustScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,Binarizer,0.5,,,,,DecisionTreeClassifier,best,,,,3,4,,5,3,2,gini,fail,-inf
FunctionTransformer,,,rebalancing_discretization_imputation_normalization_features_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,uniform,3,ordinal,distance,KNeighborsClassifier,,,5,,,,euclidean,,,,,fail,-inf
SMOTE,,5,imputation_discretization_features_normalization_rebalancing_classification,,False,,True,RobustScaler,SimpleImputer,constant,,,SelectKBest,,4,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,1,,3,1,4,gini,success,0.6995851290757913
FunctionTransformer,,,discretization_normalization_imputation_features_rebalancing_classification,,True,,True,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,4,,5,3,2,entropy,success,0.862122023420835
FunctionTransformer,,,discretization_normalization_imputation_features_rebalancing_classification,True,,False,,StandardScaler,FunctionTransformer,,,,FunctionTransformer,,,KBinsDiscretizer,,kmeans,3,ordinal,,DecisionTreeClassifier,random,,,,5,5,,5,3,2,entropy,fail,-inf
FunctionTransformer,,,discretization_rebalancing_features_normalization_imputation_classification,,,,,FunctionTransformer,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,Binarizer,5.0,,,,distance,KNeighborsClassifier,,,19,,,,manhattan,,,,,fail,-inf
FunctionTransformer,,,discretization_imputation_rebalancing_normalization_features_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,4,,5,3,3,entropy,success,0.8426058943885769
FunctionTransformer,,,rebalancing_normalization_imputation_features_discretization_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,4,,3,2,2,gini,success,0.862122023420835
FunctionTransformer,,,rebalancing_imputation_normalization_discretization_features_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,2,,4,2,3,entropy,success,0.862122023420835
FunctionTransformer,,,imputation_normalization_rebalancing_features_discretization_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,3,,5,3,1,gini,success,0.862122023420835
FunctionTransformer,,,rebalancing_normalization_imputation_features_discretization_classification,,,,,PowerTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,4,,3,1,2,entropy,success,0.617718862914109
SMOTE,,5,features_rebalancing_imputation_normalization_discretization_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,2,,3,2,3,gini,fail,-inf
FunctionTransformer,,,rebalancing_imputation_normalization_discretization_features_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,random,,,,4,2,,2,3,1,entropy,success,0.5
FunctionTransformer,,,normalization_rebalancing_discretization_features_imputation_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,1,,3,2,1,gini,success,0.862122023420835
FunctionTransformer,,,rebalancing_features_imputation_discretization_normalization_classification,,,,,PowerTransformer,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,1,,3,1,1,gini,success,0.5
FunctionTransformer,,,imputation_normalization_rebalancing_features_discretization_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,PCA,1,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,,3,,,,manhattan,,,,,success,0.6187159897261765
FunctionTransformer,,,discretization_rebalancing_imputation_normalization_features_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,3,,4,2,3,gini,success,0.862122023420835
SMOTE,,5,normalization_discretization_rebalancing_features_imputation_classification,True,,True,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,5.0,,,,,DecisionTreeClassifier,best,,,,5,5,,5,1,1,gini,fail,-inf
FunctionTransformer,,,discretization_rebalancing_imputation_normalization_features_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,3,,4,2,4,gini,success,0.862122023420835
FunctionTransformer,,,features_imputation_discretization_normalization_rebalancing_classification,,False,,True,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,Binarizer,2.0,,,,,MLPClassifier,,10,,25,,,,,,,,success,0.8428951721736102
